"Rank";"Country/Territory";"Capital";"Population"
164;"Iceland";"Reykjavík";115000
165;"Maldives";"Malé";103693
166;"Bhutan";"Thimphu";101259
167;"Equatorial Guinea";"Malabo";100677
168;"Barbados";"Bridgetown";96578
170;"Northern Cyprus";"Nicosia (north)";84893
171;"Fiji";"Suva";84410
172;"Swaziland";"Mbabane";81594
173;"Luxembourg";"Luxembourg";76420
174;"Northern Mariana Islands (United States of America)";"Saipan";62392
175;"Comoros";"Moroni, Comoros";60200
176;"Solomon Islands";"Honiara";59288
177;"East Timor";"Dili";59069
178;"Saint Lucia";"Castries";57000
179;"São Tomé and Príncipe";"Sao Tome";56166
180;"American Samoa (United States of America)";"Pago Pago";52000
181;"Trinidad and Tobago";"Port of Spain";50479
182;"Nagorno-Karabakh Republic";"Stepanakert";49986
183;"Curaçao (Netherlands)";"Willemstad, Netherlands Antilles";49885
184;"Abkhazia";"Sukhumi";43700
185;"Samoa";"Apia";39813
186;"Vanuatu";"Port Vila";38000
187;"Monaco";"Monaco";35986
188;"Gambia";"Banjul";34828
189;"Kiribati";"Tarawa";30000
190;"Aruba (Netherlands)";"Oranjestad, Aruba";29998
191;"Seychelles";"Victoria, Seychelles";29298
192;"Gibraltar (United Kingdom)";"Gibraltar";29286
193;"Jersey (United Kingdom)";"Saint Helier";28380
194;"Brunei";"Bandar Seri Begawan";28135
195;"Cayman Islands (United Kingdom)";"George Town, Cayman Islands";26798
196;"Isle of Man (United Kingdom)";"Douglas, Isle of Man";26600
197;"French Polynesia (France)";"Papeete";26200
198;"West Bank (Israel/Palestinian National Authority)";"Ramallah";25500
199;"Marshall Islands";"Majuro";25400
200;"Andorra";"Andorra la Vella";22884
201;"Antigua and Barbuda";"St. John's, Antigua and Barbuda";22679
202;"Tonga";"Nukuʻalofa";22400
203;"Faroe Islands (Denmark)";"Tórshavn";18573
204;"Guernsey (United Kingdom)";"St. Peter Port";16701
205;"Saint Vincent and the Grenadines";"Kingstown";16031
206;"Greenland (Denmark)";"Nuuk";15469
207;"South Ossetia";"Tskhinvali";15000
208;"Dominica";"Roseau";14847
209;"Saint Kitts and Nevis";"Basseterre";13043
210;"Belize";"Belmopan";12300
211;"Åland (Finland)";"Mariehamn";11161
212;"United States Virgin Islands (United States of America)";"Charlotte Amalie, United States Virgin Islands";10817
213;"Federated States of Micronesia";"Palikir";9900
214;"British Virgin Islands (United Kingdom)";"Road Town";9400
215;"Grenada";"St. George's, Grenada";7500
216;"Malta";"Valletta";6315
217;"Collectivity of Saint Martin (France)";"Marigot, Saint Martin";5700
218;"Saint Pierre and Miquelon (France)";"Saint-Pierre, Saint Pierre and Miquelon";5509
219;"Cook Islands (New Zealand)";"Avarua";5445
220;"Liechtenstein";"Vaduz";5248
221;"San Marino";"City of San Marino";4493
222;"Tuvalu";"Funafuti";4492
223;"Turks and Caicos Islands (United Kingdom)";"Cockburn Town";3700
224;"Saint Barthélemy (France)";"Gustavia, Saint Barthélemy";3000
225;"Falkland Islands (United Kingdom)";"Stanley, Falkland Islands";2115
226;"Svalbard (Norway)";"Longyearbyen";2075
227;"Christmas Island (Australia)";"Flying Fish Cove";1493
228;"Sint Maarten (Netherlands)";"Philipsburg, Sint Maarten";1338
229;"Wallis and Futuna (France)";"Mata-Utu";1191
230;"Anguilla (United Kingdom)";"The Valley, Anguilla";1169
231;"Nauru";"Yaren District";1100
232;"Guam (United States of America)";"Hagåtña";1100
233;"Montserrat (United Kingdom)";"Brades";1000
234;"Bermuda (United Kingdom)";"Hamilton, Bermuda";969
235;"Norfolk Island (Australia)";"Kingston, Norfolk Island";880
236;"Holy See";"Vatican City";826
237;"Saint Helena, Ascension and Tristan da Cunha (United Kingdom)";"Jamestown, Saint Helena";714
238;"Niue (New Zealand)";"Alofi";616
239;"Tokelau (New Zealand)";"Nukunonu";426
240;"Palau";"Ngerulmud";391
241;"Cocos (Keeling) Islands (Australia)";"West Island, Cocos (Keeling) Islands";120
242;"Pitcairn Islands (United Kingdom)";"Adamstown, Pitcairn Islands";45
243;"South Georgia and the South Sandwich Islands (United Kingdom)";"King Edward Point";18
